,Rank,Name,NIH_funding,abstract_count
0,1,Duke University Medical Center,44987067.0,48.0
1,2,University Of Michigan,28593123.0,149.0
2,3,Washington University In St. Louis,28448607.0,13.0
3,4,University Of Florida,21073685.0,56.0
4,5,Hospital Of The University Of Pennsylvania,21002526.0,82.0
5,6,University Of Pittsburgh,17889737.0,75.0
6,7,University Of Wisconsin,17610781.0,39.0
7,8,Ohio State University,17225409.0,54.0
8,9,Columbia University Irving Medical Center,16059288.0,15.0
9,10,University Of Alabama At Birmingham,13728161.0,219.0
10,11,Stanford University,12408668.0,68.0
11,12,Northwestern University,11864355.0,71.0
12,13,University Of Minnesota,11817446.0,11.0
13,14,Johns Hopkins University School Of Medicine,11667474.0,56.0
14,15,University Of Colorado Denver,11507842.0,74.0
15,16,University Of California - Los Angeles,11251393.0,116.0
16,17,University Of California - San Francisco,10878001.0,40.0
17,18,University Of Rochester,9451273.0,23.0
18,19,Emory University School Of Medicine,9411295.0,20.0
19,20,University Of Miami,9367680.0,54.0
20,21,University Of Maryland,9090450.0,10.0
21,22,Vanderbilt University Medical Center,8258063.0,21.0
22,23,University Of Utah,8245306.0,30.0
23,24,University Of California - San Diego,8134037.0,36.0
24,25,University Of Chicago,7543361.0,54.0
25,26,Weill Cornell Medical College,7450111.0,8.0
26,27,University Of California - Davis,7343475.0,6.0
27,28,New York University School Of Medicine,7007581.0,9.0
28,29,Indiana Univ-Purdue Univ Indianapolis,7005922.0,
29,30,University Of Virginia,6484885.0,43.0
30,31,New Jersey Medical School,5984708.0,26.0
31,32,University Of North Carolina At Chapel Hill,5533212.0,54.0
32,33,University Of Texas Southwestern Medical Center,5120426.0,68.0
33,34,Baylor College Of Medicine,4876869.0,83.0
34,35,University Of Louisville,4598099.0,17.0
35,36,University Of Kentucky,4548529.0,10.0
36,37,Case Western Reserve University School Of Medicine,4522745.0,19.0
37,38,Yale University School Of Medicine,3959242.0,30.0
38,39,University Of Nebraska College Of Medicine,3648840.0,22.0
39,40,Penn State Hershey Medical Center,3429434.0,30.0
40,41,University Of Southern California,3405162.0,10.0
41,42,Medical University Of South Carolina,3167729.0,9.0
42,43,Medical College Of Wisconsin,3082337.0,58.0
43,44,University Of Missouri,2883577.0,
44,45,University Of Arizona,2863973.0,60.0
45,46,University Of Washington,2647732.0,2.0
46,47,University Of Iowa,2590525.0,21.0
47,48,University Of South Florida College Of Medicine,2101967.0,26.0
48,49,University Of California - Irvine,1875096.0,17.0
49,50,Wake Forest University School Of Medicine,1825866.0,11.0
50,51,East Tennessee State University,1609186.0,5.0
51,52,Harvard Medical School,1608166.0,27.0
52,53,University Of Cincinnati,1383239.0,29.0
53,54,Virginia Commonwealth University,1313303.0,6.0
54,55,University Of Vermont College Of Medicine / Fletcher Allen Health Care,1131773.0,20.0
55,56,Loyola University Chicago Stritch School Of Medicine,1080472.0,9.0
56,57,University Of Texas Health Science Center At Houston,1070099.0,59.0
57,58,Boston University,916387.0,22.0
58,59,University Of Connecticut School Of Medicine,882617.0,3.0
59,60,University Of New Mexico Hsc,834757.0,4.0
60,61,George Washington University,752803.0,12.0
61,62,Augusta University,673667.0,2.0
62,63,State University Of New York At Buffalo,644828.0,14.0
63,64,University Of Nevada,612680.0,2.0
64,65,Tulane University School Of Medicine,595206.0,8.0
65,66,Louisiana State University Health Sciences Center,540119.0,50.0
66,67,Albany Medical College,461586.0,8.0
67,68,Oregon Health And Science University,456464.0,10.0
68,69,University Of Illinois At Chicago,403577.0,1.0
69,70,University Of Oklahoma Health Sciences Center,362500.0,
70,71,Georgetown University Medical Center,353959.0,15.0
71,72,University Of Tennessee Health Science Center,346500.0,20.0
72,73,University Of Texas Medical Branch,341416.0,23.0
73,74,University Of Mississippi,268394.0,5.0
74,75,Suny Upstate Medical University,244500.0,2.0
75,76,University Of Massachusetts Medical School,164559.0,5.0
